file	chroma_stft	rmse	spectral_centroid	spectral_bandwith	rollof	zero_crossing_rate	mfcc1	mfcc2	mfcc3	mfcc4	mfcc5	mfcc6	mfcc7	mfcc8	mfcc9	mfcc10	mfcc11	mfcc12	mfcc13	mfcc14	mfcc15	mfcc16	mfcc17	mfcc18	mfcc19	mfcc20
0_george_0.wav	0.1986671	0.08371878	1389.4320009564196	1122.693198531973	2620.4251802884614	0.060171274038461536	-312.48383	157.41385	-83.38945	47.328335	47.099693	-55.105373	-13.754276	-17.003675	-52.974422	-11.805694	-24.018995	-43.016975	2.1104112	-6.013774	-28.54085	-3.1170695	-5.603108	-13.659479	-2.3202257	-12.169437
0_george_1.wav	0.27388865	0.042971753	1034.395917234869	974.7231418924159	2113.9808067908652	0.046743539663461536	-379.06635	165.6669	-57.867474	22.860203	25.974346	-46.115276	-14.100521	-26.140167	-52.51586	-9.250536	-19.969303	-40.412582	-2.325323	-6.7052026	-25.866652	-7.1429577	-10.470287	-16.260077	-5.9550347	-14.368776
0_george_10.wav	0.34253162	0.03214739	1269.0750825363218	1003.3824736714323	2388.2279829545455	0.07695608428030302	-424.77246	127.8521	-53.795578	17.831009	26.846817	-34.200123	-14.209099	-18.69637	-32.358147	-5.2729197	-23.223995	-34.5474	-1.589133	-11.633971	-23.94862	-0.7233957	-4.458993	-10.715401	-1.5252076	-11.829735
0_george_11.wav	0.2552084	0.041286267	1218.0942831323116	1049.3596892613944	2413.8720703125	0.062060546875	-389.5848	166.07352	-79.408005	25.375334	32.479534	-50.722202	-10.692026	-17.150023	-45.109356	-4.970866	-23.14762	-41.559254	-0.6684761	-12.243627	-26.99203	1.2551776	-5.8720512	-13.65375	-2.4066994	-15.2522
0_george_12.wav	0.2228036	0.041336305	1146.6835486711532	994.6396148193217	2244.83642578125	0.061479048295454544	-389.2747	169.63234	-77.21012	22.742558	36.415375	-46.292343	-13.345025	-17.793606	-43.902256	-5.21596	-21.835735	-41.768703	-1.4587486	-10.668156	-28.250916	-1.9966226	-7.96097	-16.239616	-3.5175996	-17.073278
0_george_13.wav	0.2623992	0.05413514	1151.97971526865	969.8980770720618	2177.9937744140625	0.05584716796875	-384.04138	162.00758	-79.80482	21.959341	37.724506	-47.23747	-18.028318	-20.11531	-45.669296	-8.490657	-19.952694	-38.626873	-3.7163172	-10.163127	-24.277338	-2.9949074	-9.00713	-13.24303	-0.60947245	-11.603272
0_george_14.wav	0.23245393	0.055044312	1144.9906830842287	951.8519605941456	2056.4208984375	0.056640625	-381.74326	155.19098	-69.71483	25.305328	33.304214	-50.758076	-16.931625	-14.225067	-42.961426	-10.042378	-19.111166	-38.457455	-5.9987035	-11.428905	-26.53295	-3.8888676	-5.546846	-12.480269	-3.116504	-10.608345
0_george_15.wav	0.2711149	0.05471933	1121.4217727750045	985.6396957070085	2112.126358695652	0.059294327445652176	-360.58966	146.67686	-63.060436	20.973888	32.104984	-40.693024	-14.914099	-16.863514	-41.428864	-10.086713	-19.720644	-37.937378	-5.8574834	-8.781369	-24.115107	-4.8622103	-5.592982	-10.80604	-1.022857	-9.2286
0_george_16.wav	0.23748913	0.042775758	1016.8843886079809	954.9887549766796	2054.498291015625	0.048095703125	-411.914	158.79443	-59.79897	21.90885	29.262789	-43.804268	-13.607208	-17.992886	-42.767353	-7.848237	-20.800863	-40.647717	-6.1309695	-10.492493	-24.90771	-3.595665	-7.7444863	-14.027761	-3.865823	-14.677161
0_george_17.wav	0.26964727	0.042443864	934.7003915983116	920.160103983842	1853.0977689302886	0.041334885817307696	-406.46518	154.39198	-52.130596	16.392195	28.420267	-35.907303	-17.3965	-23.617535	-39.82769	-9.018871	-23.848894	-37.30965	-3.7885065	-12.342818	-27.125807	-5.7454615	-9.102797	-14.286694	-2.41205	-11.15356
0_george_18.wav	0.23027244	0.047203064	993.9432783346348	942.5173882462592	1950.1441217237902	0.043929561491935484	-401.49173	153.39081	-57.711323	18.280817	31.3138	-37.81589	-16.457714	-19.34302	-39.410484	-11.124207	-23.036535	-36.21891	-6.0132494	-12.391465	-23.163986	-5.482798	-11.955434	-14.280679	-2.7168548	-12.067258
0_george_19.wav	0.26543948	0.054849397	1080.4836444455452	956.5222368353269	2018.091796875	0.05306640625	-358.39578	147.15518	-60.609425	19.306849	32.867218	-42.11875	-20.399189	-17.12821	-39.65242	-13.349989	-21.099426	-36.164684	-6.6713514	-7.9649143	-20.756819	-5.676847	-8.564415	-11.789848	-2.50587	-10.830234
0_george_2.wav	0.22736698	0.060187135	1103.4549301711866	987.5871426318756	2174.1109913793102	0.05180832435344827	-376.82022	146.60077	-63.30736	23.413662	28.494097	-42.978405	-11.306782	-22.205132	-49.52589	-11.045037	-23.919039	-43.319736	-5.4093413	-8.408448	-23.664753	-4.700822	-9.661541	-12.492106	-0.48045486	-12.6993
0_george_20.wav	0.27696645	0.03140639	1156.8250970670426	1044.179158265	2352.50244140625	0.061991373697916664	-400.2969	157.68419	-61.123783	25.735678	31.746569	-43.542706	-10.82685	-15.573625	-44.388256	-12.874588	-24.777918	-39.68413	-6.153417	-15.253571	-26.593306	-1.6675211	-8.94075	-16.081728	-3.5321043	-14.839995
0_george_21.wav	0.254853	0.0537079	1254.1964095540877	1027.0584144046938	2427.1664826766305	0.07022758152173914	-348.1066	153.47824	-73.14936	22.125202	28.686518	-46.50153	-9.783948	-18.166203	-44.77013	-6.9526415	-23.87165	-39.922264	-1.5929472	-14.627037	-27.599516	0.14355952	-10.162699	-16.13111	0.9547493	-14.197068
